Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,Gls per 90,Ast per 90,G+A per 90,G-PK per 90,G+A-PK per 90,xG,npxG,xA,npxG+xA,xG per 90,xA per 90,xG+xA per 90,npxG per 90,npxG+xA per 90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att_x,Tkl%,Past,Press,Succ,%,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Cmp,Att_y,Cmp%,TotDist,PrgDist,Cmp short,Att short,Cmp% short,Cmp medium,Att medium,Cmp% medium,Cmp long,Att long,Cmp% long,A-xA,KP,1/3,PPA,CrsPA,Prog
Patrick van Aanholt,NED,DF,Crystal Palace,29.0,22,20,1777,19.7,0,1,0,0.0,0.05,0.05,0.0,0.05,1.2,1.2,0.8,2.0,0.06,0.04,0.1,0.06,0.1,33,19,21,11,1,15,42,35.7,27,206,69,33.5,130,56,20,31,7,1,24,34,67,40,1,889,1127,78.9,14909,6947,454,512,88.7,339,417,81.3,79,152,52.0,0.2,11,68,26,4,112
Tammy Abraham,ENG,FW,Chelsea,22.0,22,12,1040,11.6,6,1,6,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63,8,4,3,4,1,1,6,16.7,5,162,38,23.5,13,71,78,9,2,0,7,2,10,17,0,149,218,68.3,2057,327,92,118,78.0,39,64,60.9,9,15,60.0,0.1,8,12,2,0,11
Che Adams,SCO,FW,Southampton,24.0,36,30,2667,29.6,9,5,9,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49,30,17,5,13,12,6,23,26.1,17,430,138,32.1,48,162,220,26,4,0,22,11,41,16,1,443,633,70.0,7359,1633,227,302,75.2,143,184,77.7,51,73,69.9,-0.8,34,27,25,2,61
Tosin Adarabioyo,ENG,DF,Fulham,22.0,33,33,2953,32.8,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04,41,26,31,9,1,20,38,52.6,18,182,59,32.4,115,60,7,38,23,0,15,55,96,241,1,1594,1824,87.4,37337,11928,304,340,89.4,934,985,94.8,346,470,73.6,-0.4,5,68,5,1,73
Sergio Agüero,ARG,FWMF,Manchester City,32.0,12,7,559,6.2,4,1,3,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51,3,0,0,1,2,2,11,18.2,9,90,25,27.8,8,31,51,5,1,0,4,4,7,1,0,143,170,84.1,1867,285,82,94,87.2,42,48,87.5,5,5,100.0,-0.3,6,11,6,1,12
Ola Aina,NGA,DF,Fulham,23.0,31,31,2664,29.6,2,1,2,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,47,25,27,14,6,17,41,41.5,24,261,65,24.9,143,96,22,47,8,0,39,52,99,121,0,1329,1711,77.7,25538,10322,526,584,90.1,617,717,86.1,170,354,48.0,-0.4,14,98,15,9,98
Rayan Aït Nouri,FRA,DF,Wolves,19.0,21,16,1404,15.6,1,1,1,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.1,0.04,0.1,31,16,16,13,2,12,26,46.2,14,241,72,29.9,131,74,36,27,0,0,27,15,46,39,0,657,785,83.7,10835,3074,327,356,91.9,278,312,89.1,41,81,50.6,0.0,13,30,14,5,46
Semi Ajayi,NGA,DF,West Brom,26.0,33,31,2780,30.9,2,0,2,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,58,42,44,12,2,18,36,50.0,18,340,132,38.8,221,102,17,62,35,3,27,41,99,148,3,705,948,74.4,15527,6592,198,232,85.3,364,445,81.8,137,255,53.7,-0.3,5,67,4,0,64
Nathan Aké,NED,DF,Manchester City,25.0,10,9,797,8.9,1,0,1,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,15,6,7,6,2,4,5,80.0,1,73,25,34.2,35,30,8,6,2,0,4,6,21,26,0,702,755,93.0,12873,3534,289,299,96.7,349,372,93.8,60,73,82.2,0.0,1,60,2,0,36
Marc Albrighton,ENG,DFFW,Leicester City,30.0,31,17,1746,19.4,1,5,1,0.05,0.26,0.31,0.05,0.31,1.3,1.3,4.4,5.7,0.07,0.23,0.29,0.07,0.29,43,31,16,18,9,20,55,36.4,35,340,129,37.9,111,144,85,32,2,1,30,28,71,26,0,635,923,68.8,11394,4629,319,383,83.3,211,263,80.2,84,199,42.2,0.6,39,51,42,16,87
Thiago Alcántara,ESP,MF,Liverpool,29.0,24,20,1854,20.6,1,0,1,0.05,0.0,0.05,0.05,0.05,1.4,1.4,2.3,3.7,0.07,0.11,0.18,0.07,0.18,68,43,27,29,12,19,50,38.0,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0,1498,1674,89.5,31595,8231,522,564,92.6,672,725,92.7,278,338,82.2,-2.3,29,207,27,1,184
Toby Alderweireld,BEL,DF,Tottenham,31.0,25,25,2240,24.9,1,0,1,0.04,0.0,0.04,0.04,0.04,0.8,0.8,0.3,1.2,0.03,0.01,0.05,0.03,0.05,38,19,23,15,0,15,27,55.6,12,202,74,36.6,128,71,3,53,32,1,21,15,53,162,0,1143,1365,83.7,27127,7537,266,287,92.7,581,625,93.0,287,432,66.4,-0.3,7,76,6,1,52
Trent Alexander-Arnold,ENG,DF,Liverpool,21.0,36,34,3031,33.7,2,7,2,0.06,0.21,0.27,0.06,0.27,2.8,2.8,8.1,10.8,0.08,0.24,0.32,0.08,0.32,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2,2216,2941,75.3,47515,19500,784,889,88.2,994,1189,83.6,419,777,53.9,-1.1,73,208,101,32,278
Ezgjan Alioski,MKD,DF,Leeds United,28.0,36,29,2461,27.3,2,3,2,0.07,0.11,0.18,0.07,0.18,1.5,1.5,3.1,4.6,0.05,0.11,0.17,0.05,0.17,82,42,41,33,8,28,77,36.4,49,534,152,28.5,243,217,74,46,6,0,40,36,118,61,0,1305,1630,80.1,22206,8320,629,703,89.5,567,661,85.8,97,196,49.5,-0.1,27,82,32,13,114
Allan,BRA,MF,Everton,29.0,24,23,2051,22.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,0.01,0.04,0.05,0.01,0.05,75,54,39,33,3,28,94,29.8,66,673,191,28.4,269,360,44,39,13,0,26,23,98,30,0,899,1048,85.8,16984,4349,369,401,92.0,382,428,89.3,129,178,72.5,-0.9,16,91,15,1,82
Dele Alli,ENG,MF,Tottenham,24.0,15,7,620,6.9,0,1,0,0.0,0.15,0.15,0.0,0.15,1.3,1.3,0.9,2.2,0.19,0.13,0.32,0.19,0.32,20,15,9,8,3,6,17,35.3,11,218,58,26.6,44,98,76,13,1,0,12,10,30,4,0,270,337,80.1,4654,1070,124,145,85.5,116,132,87.9,26,39,66.7,0.1,8,17,9,1,27
Miguel Almirón,PAR,MFFW,Newcastle Utd,26.0,34,28,2429,27.0,4,1,4,0.15,0.04,0.19,0.15,0.19,3.2,3.2,2.8,5.9,0.12,0.1,0.22,0.12,0.22,48,29,22,23,3,16,56,28.6,40,506,114,22.5,173,210,123,36,5,2,31,27,75,24,1,711,877,81.1,12123,2700,352,395,89.1,270,317,85.2,66,109,60.6,-1.8,28,56,26,7,65
Marcos Alonso,ESP,DF,Chelsea,29.0,13,11,960,10.7,2,0,2,0.19,0.0,0.19,0.19,0.19,1.7,1.7,1.1,2.8,0.16,0.11,0.27,0.16,0.27,13,8,5,5,3,3,17,17.6,14,140,41,29.3,61,49,30,22,1,0,21,11,24,37,0,483,592,81.6,8125,2867,239,267,89.5,207,240,86.3,34,62,54.8,-1.1,12,19,8,2,49
Steven Alzate,COL,MFDF,Brighton,21.0,15,10,896,10.0,1,0,1,0.1,0.0,0.1,0.1,0.1,0.7,0.7,0.5,1.1,0.07,0.05,0.11,0.07,0.11,19,15,12,4,3,2,9,22.2,7,159,54,34.0,44,70,45,16,1,0,15,7,26,9,1,399,446,89.5,6928,1321,194,213,91.1,154,163,94.5,45,54,83.3,-0.5,10,33,6,0,35
Daniel Amartey,GHA,DF,Leicester City,25.0,12,8,722,8.0,1,0,1,0.12,0.0,0.12,0.12,0.12,0.4,0.4,0.0,0.4,0.05,0.0,0.05,0.05,0.05,12,6,7,3,2,7,12,58.3,5,62,24,38.7,37,22,3,19,5,1,14,12,24,42,0,400,466,85.8,7606,2362,136,146,93.2,212,240,88.3,45,62,72.6,0.0,0,19,1,0,25
Ethan Ampadu,WAL,DFMF,Sheffield Utd,19.0,25,23,2089,23.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.9,1.3,0.01,0.04,0.06,0.01,0.06,62,36,31,26,5,21,49,42.9,28,359,101,28.1,180,138,41,48,20,0,28,39,101,120,2,857,1064,80.5,17276,5506,306,353,86.7,405,470,86.2,134,211,63.5,-0.9,10,69,16,2,84
Joachim Andersen,DEN,DF,Fulham,24.0,31,30,2730,30.3,1,1,1,0.03,0.03,0.07,0.03,0.07,1.1,1.1,0.5,1.6,0.04,0.02,0.05,0.04,0.05,41,26,23,13,5,20,37,54.1,17,196,66,33.7,128,55,13,35,16,0,19,51,92,233,1,1529,1833,83.4,38236,11350,300,334,89.8,821,894,91.8,397,577,68.8,0.5,9,121,9,1,99
Michail Antonio,ENG,FW,West Ham,30.0,26,24,1974,21.9,10,5,10,0.46,0.23,0.68,0.46,0.68,11.4,11.4,2.3,13.7,0.52,0.11,0.62,0.52,0.62,14,8,1,7,6,2,9,22.2,7,254,65,25.6,19,92,143,25,9,0,16,9,23,8,0,326,490,66.5,5008,924,189,259,73.0,90,134,67.2,30,52,57.7,2.7,23,22,12,2,25
Stuart Armstrong,SCO,MF,Southampton,28.0,33,32,2764,30.7,4,5,4,0.13,0.16,0.29,0.13,0.29,3.0,3.0,2.7,5.7,0.1,0.09,0.18,0.1,0.18,70,41,27,30,13,30,80,37.5,50,489,141,28.8,166,215,108,31,1,0,30,30,100,21,1,1002,1258,79.7,16614,4712,515,604,85.3,383,444,86.3,85,127,66.9,2.3,34,90,40,5,116
Pierre-Emerick Aubameyang,GAB,FW,Arsenal,31.0,29,26,2332,25.9,10,3,8,0.39,0.12,0.5,0.31,0.42,10.6,9.1,2.8,11.9,0.41,0.11,0.52,0.35,0.46,17,5,8,7,2,4,20,20.0,16,344,83,24.1,57,144,143,26,2,0,24,6,23,14,0,518,691,75.0,7883,1507,289,355,81.4,183,238,76.9,28,51,54.9,0.2,22,18,27,9,50
Serge Aurier,CIV,DF,Tottenham,27.0,19,19,1605,17.8,2,3,2,0.11,0.17,0.28,0.11,0.28,1.4,1.4,1.9,3.2,0.08,0.11,0.18,0.08,0.18,73,38,45,23,5,21,51,41.2,30,384,112,29.2,210,126,48,43,6,0,37,24,97,52,2,769,954,80.6,12616,5171,402,446,90.1,297,373,79.6,58,99,58.6,1.1,12,29,20,6,61
Charlie Austin,ENG,FW,West Brom,31.0,5,0,138,1.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.13,0.0,0.13,0.13,0.13,4,3,2,1,1,1,2,50.0,1,23,7,30.4,5,8,10,0,0,0,0,2,6,3,0,25,34,73.5,374,134,12,14,85.7,12,16,75.0,1,2,50.0,0.0,0,0,0,0,4
Jordan Ayew,GHA,FWMF,Crystal Palace,28.0,33,23,2096,23.3,1,3,1,0.04,0.13,0.17,0.04,0.17,2.4,2.4,0.7,3.0,0.1,0.03,0.13,0.1,0.13,52,33,8,28,16,14,45,31.1,31,678,159,23.5,143,347,188,29,2,0,27,29,81,12,0,514,654,78.6,7192,1223,319,372,85.8,146,185,78.9,23,41,56.1,2.3,12,12,14,2,36
Luke Ayling,ENG,DF,Leeds United,28.0,38,38,3399,37.8,0,0,0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,2.6,4.0,0.04,0.07,0.1,0.04,0.1,114,67,70,34,10,42,89,47.2,47,533,187,35.1,283,197,53,81,34,1,47,58,172,111,2,2109,2661,79.3,42931,17225,763,864,88.3,997,1147,86.9,331,573,57.8,-2.6,25,177,35,12,203
César Azpilicueta,ESP,DF,Chelsea,30.0,26,24,2188,24.3,1,2,1,0.04,0.08,0.12,0.04,0.12,0.8,0.8,2.6,3.4,0.03,0.11,0.14,0.03,0.14,52,31,23,23,6,21,35,60.0,14,346,106,30.6,153,141,52,37,7,0,30,37,89,97,1,1763,2015,87.5,30771,11059,750,804,93.3,873,953,91.6,119,201,59.2,-0.6,26,130,25,5,116
Eric Bailly,CIV,DF,Manchester Utd,26.0,12,10,916,10.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.01,0.0,0.01,0.01,0.01,9,6,5,3,1,1,1,100.0,0,55,22,40.0,27,26,2,17,15,0,2,22,31,51,0,494,547,90.3,10384,3113,139,148,93.9,281,304,92.4,71,91,78.0,0.0,0,28,0,0,29
Fabián Balbuena,PAR,DF,West Ham,28.0,14,13,1198,13.3,1,0,1,0.08,0.0,0.08,0.08,0.08,0.6,0.6,0.0,0.6,0.05,0.0,0.05,0.05,0.05,24,14,20,4,0,12,24,50.0,12,134,45,33.6,88,44,2,25,6,1,19,14,38,89,1,357,465,76.8,8603,3296,77,88,87.5,187,213,87.8,89,154,57.8,0.0,0,33,0,0,30
George Baldock,ENG,DF,Sheffield Utd,27.0,32,32,2787,31.0,0,2,0,0.0,0.06,0.06,0.0,0.06,1.1,1.1,1.7,2.8,0.04,0.05,0.09,0.04,0.09,55,27,31,17,7,24,49,49.0,25,464,113,24.4,198,174,92,46,8,1,38,35,90,82,0,911,1160,78.5,13856,4559,530,578,91.7,302,386,78.2,53,121,43.8,0.3,17,39,29,8,61
Gareth Bale,WAL,FW,Tottenham,31.0,20,10,920,10.2,11,2,11,1.08,0.2,1.27,1.08,1.27,5.3,5.3,1.9,7.2,0.52,0.19,0.71,0.52,0.71,14,9,4,6,4,4,13,30.8,9,125,34,27.2,27,54,44,16,2,0,14,9,23,17,0,284,408,69.6,5574,1778,141,170,82.9,81,115,70.4,53,95,55.8,0.1,20,23,16,6,32
Patrick Bamford,ENG,FW,Leeds United,26.0,38,37,3050,33.9,17,7,15,0.5,0.21,0.71,0.44,0.65,17.3,15.7,4.1,19.8,0.51,0.12,0.63,0.46,0.59,26,18,6,12,8,6,30,20.0,24,605,172,28.4,33,261,311,16,9,1,7,13,39,35,0,386,506,76.3,5231,872,224,287,78.0,110,135,81.5,22,27,81.5,2.9,29,21,13,2,31
Phil Bardsley,SCO,DF,Burnley,35.0,4,3,274,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.0,0.04,0.04,0.04,6,4,5,1,0,2,4,50.0,2,39,9,23.1,17,19,3,4,1,0,3,3,9,14,0,116,165,70.3,2256,949,47,49,95.9,51,67,76.1,16,40,40.0,0.0,0,9,6,1,11
Ashley Barnes,ENG,FW,Burnley,30.0,22,15,1331,14.8,3,0,2,0.2,0.0,0.2,0.14,0.14,5.1,4.4,0.7,5.1,0.35,0.04,0.39,0.3,0.34,16,6,2,7,7,4,12,33.3,8,202,52,25.7,24,77,101,15,3,0,12,5,21,9,0,195,307,63.5,2579,574,129,173,74.6,45,74,60.8,8,29,27.6,-0.7,13,13,7,1,20
Harvey Barnes,ENG,FWMF,Leicester City,22.0,25,22,1945,21.6,9,4,9,0.42,0.19,0.6,0.42,0.6,6.2,6.2,1.5,7.7,0.29,0.07,0.35,0.29,0.35,22,14,9,6,7,4,19,21.1,15,227,69,30.4,61,91,75,24,4,0,20,16,38,13,0,468,626,74.8,7239,1875,265,331,80.1,157,198,79.3,33,51,64.7,2.5,25,37,19,2,62
Kyle Bartley,ENG,DF,West Brom,29.0,30,28,2584,28.7,3,1,3,0.1,0.03,0.14,0.1,0.14,2.1,2.1,0.2,2.4,0.07,0.01,0.08,0.07,0.08,26,18,15,10,1,10,32,31.3,22,231,76,32.9,135,82,14,74,37,1,37,31,57,202,2,630,809,77.9,13475,4389,195,237,82.3,323,374,86.4,105,185,56.8,0.8,4,52,3,1,30
Chris Basham,ENG,DFMF,Sheffield Utd,32.0,31,31,2576,28.6,0,1,0,0.0,0.03,0.03,0.0,0.03,0.8,0.8,0.8,1.6,0.03,0.03,0.05,0.03,0.05,76,46,48,22,6,37,70,52.9,33,383,115,30.0,201,137,45,49,15,5,34,45,121,124,1,900,1105,81.4,16284,4713,404,451,89.6,377,444,84.9,105,169,62.1,0.2,10,54,15,7,62
Michy Batshuayi,BEL,FW,Crystal Palace,26.0,18,7,728,8.1,2,1,2,0.25,0.12,0.37,0.25,0.37,1.4,1.4,1.4,2.8,0.17,0.18,0.35,0.17,0.35,3,3,1,2,0,2,9,22.2,7,109,21,19.3,8,54,47,10,1,0,9,2,5,5,1,118,168,70.2,1722,350,63,81,77.8,39,55,70.9,8,10,80.0,-0.4,7,7,4,1,11
Jan Bednarek,POL,DF,Southampton,24.0,36,36,3100,34.4,1,1,1,0.03,0.03,0.06,0.03,0.06,1.0,1.0,0.3,1.3,0.03,0.01,0.04,0.03,0.04,48,28,31,16,1,23,53,43.4,30,284,95,33.5,169,104,11,59,28,1,31,78,126,216,1,1697,2005,84.6,32478,10807,625,675,92.6,876,961,91.2,178,332,53.6,0.7,5,80,4,0,80
Donny van de Beek,NED,MFFW,Manchester Utd,23.0,19,4,524,5.8,1,1,1,0.17,0.17,0.34,0.17,0.34,0.3,0.3,1.0,1.3,0.05,0.17,0.22,0.05,0.22,12,9,3,6,3,3,13,23.1,10,105,32,30.5,21,59,25,11,1,0,10,7,19,9,0,235,279,84.2,3651,758,126,141,89.4,94,102,92.2,11,17,64.7,0.0,3,11,2,1,10
Héctor Bellerín,ESP,DF,Arsenal,25.0,25,24,2089,23.2,1,2,1,0.04,0.09,0.13,0.04,0.13,0.8,0.8,2.4,3.2,0.04,0.1,0.14,0.04,0.14,34,18,18,13,3,12,41,29.3,29,223,62,27.8,87,100,36,50,9,0,41,13,47,41,0,1079,1302,82.9,18140,5147,499,576,86.6,496,573,86.6,63,101,62.4,-0.4,22,61,29,9,88
Saïd Benrahma,ALG,FWMF,West Ham,24.0,30,14,1391,15.5,1,6,1,0.06,0.39,0.45,0.06,0.45,2.3,2.3,4.4,6.6,0.15,0.28,0.43,0.15,0.43,31,21,10,15,6,8,28,28.6,20,287,73,25.4,81,142,64,15,0,0,15,13,44,10,0,411,527,78.0,6393,1825,236,264,89.4,132,166,79.5,29,66,43.9,1.6,27,41,22,6,47
Josh Benson,ENG,MF,Burnley,20.0,6,2,264,2.9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.06,0.0,0.06,0.06,0.06,8,5,5,1,2,4,8,50.0,4,36,12,33.3,15,17,4,3,1,0,2,1,9,2,0,62,85,72.9,865,322,38,42,90.5,17,24,70.8,4,12,33.3,0.0,0,4,0,0,7
Christian Benteke,BEL,FW,Crystal Palace,29.0,30,21,1816,20.2,10,1,10,0.5,0.05,0.55,0.5,0.55,8.1,8.1,1.0,9.1,0.4,0.05,0.45,0.4,0.45,13,9,1,5,7,0,8,0.0,8,240,57,23.8,16,129,95,17,6,1,11,5,18,37,0,366,573,63.9,5051,990,217,326,66.6,103,171,60.2,21,30,70.0,0.0,15,25,14,2,33
Gaetano Berardi,SUI,DF,Leeds United,31.0,2,1,113,1.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,3,2,2,0,1,1,1,100.0,0,14,6,42.9,9,4,1,2,1,0,1,2,5,5,0,46,56,82.1,898,426,14,16,87.5,27,30,90.0,5,9,55.6,0.0,0,2,1,0,3
Jóhann Berg Guðmundsson,ISL,MF,Burnley,29.0,22,16,1363,15.1,2,0,2,0.13,0.0,0.13,0.13,0.13,1.7,1.7,0.5,2.2,0.11,0.03,0.14,0.11,0.14,19,14,6,9,4,10,23,43.5,13,166,48,28.9,48,72,46,19,2,0,17,17,36,14,0,356,472,75.4,6119,1493,190,220,86.4,113,143,79.0,44,91,48.4,-0.5,10,19,15,5,34
